,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrIn-Tekeze River,RvrIn-Genale River
7807,0.035,0.078,1.138,0.86,0.495,0.119,0.18,0.058
7808,0.034,0.021,1.354,0.955,0.198,0.141,0.204,0.079
7809,0.045,0.029,1.321,0.852,0.086,0.228,0.235,0.129
7810,0.067,0.03,1.023,0.593,0.108,0.347,0.262,0.258
7811,0.081,0.035,0.775,0.437,0.172,0.544,0.283,0.47
7812,0.097,0.037,0.506,0.296,0.266,0.852,0.28,0.69
7813,0.104,0.029,0.209,0.133,0.385,1.207,0.26,0.791
7814,0.109,0.031,0.106,0.059,0.532,1.569,0.223,0.724
7815,0.145,0.036,0.179,0.089,0.578,1.853,0.262,0.684
7816,0.174,0.053,0.428,0.185,0.475,1.819,0.296,0.55
7817,0.177,0.075,0.601,0.24,0.405,1.555,0.323,0.409
7818,0.172,0.103,0.659,0.265,0.371,1.164,0.353,0.273
7819,0.295,0.178,0.529,0.278,0.329,0.812,0.473,0.217
7820,0.435,0.295,0.259,0.298,0.289,0.485,0.628,0.203
7821,0.395,0.373,0.158,0.381,0.252,0.349,0.558,0.176
7822,0.346,0.372,0.222,0.605,0.267,0.409,0.383,0.177
7823,0.276,0.459,0.443,1.114,0.403,0.639,0.283,0.223
7824,0.19,0.661,0.521,1.309,0.5,0.917,0.286,0.24
7825,0.215,1.049,0.389,0.993,0.483,1.012,0.391,0.248
7826,0.231,1.467,0.267,0.714,0.462,0.921,0.556,0.217
7827,0.186,1.543,0.322,0.663,0.534,0.842,0.496,0.162
7828,0.137,1.092,0.476,0.666,0.669,0.856,0.318,0.143
7829,0.098,0.584,0.677,0.742,0.721,0.942,0.195,0.17
7830,0.056,0.374,0.887,0.822,0.597,1.023,0.073,0.209
7831,0.029,0.266,1.04,0.808,0.406,1.096,0.026,0.27
7832,0.013,0.191,1.062,0.698,0.295,1.102,0.011,0.332
7833,0.018,0.122,0.933,0.558,0.293,1.004,0.018,0.38
7834,0.024,0.053,0.707,0.438,0.306,0.862,0.028,0.365
7835,0.034,0.021,0.481,0.325,0.287,0.653,0.041,0.302
7836,0.037,0.011,0.327,0.267,0.207,0.49,0.056,0.261
7837,0.038,0.017,0.275,0.245,0.092,0.38,0.068,0.218
7838,0.044,0.026,0.234,0.212,0.045,0.292,0.088,0.175
7839,0.049,0.026,0.179,0.159,0.027,0.212,0.105,0.136
7840,0.057,0.02,0.123,0.088,0.024,0.148,0.095,0.108
7841,0.065,0.011,0.062,0.024,0.026,0.142,0.097,0.084
7842,0.088,0.008,0.026,0.007,0.026,0.14,0.139,0.068
7843,0.11,0.005,0.01,0.003,0.025,0.126,0.2,0.061
7844,0.123,0.004,0.005,0.003,0.029,0.102,0.293,0.059
7845,0.14,0.002,0.004,0.004,0.039,0.102,0.454,0.06
7846,0.17,0.003,0.005,0.004,0.054,0.087,0.653,0.056
7847,0.239,0.006,0.01,0.007,0.071,0.088,0.851,0.051
7848,0.375,0.011,0.021,0.016,0.105,0.088,0.986,0.046
7849,0.474,0.013,0.021,0.022,0.16,0.094,0.853,0.039
7850,0.376,0.013,0.015,0.021,0.226,0.086,0.593,0.035
7851,0.264,0.014,0.01,0.013,0.291,0.079,0.351,0.027
7852,0.201,0.011,0.01,0.015,0.367,0.066,0.174,0.026
7853,0.164,0.01,0.015,0.041,0.428,0.054,0.071,0.022
7854,0.154,0.017,0.026,0.092,0.399,0.044,0.023,0.024
7855,0.147,0.035,0.038,0.133,0.261,0.033,0.011,0.029
7856,0.135,0.086,0.04,0.141,0.121,0.022,0.025,0.045
7857,0.132,0.195,0.054,0.154,0.041,0.019,0.045,0.033
7858,0.135,0.288,0.078,0.155,0.015,0.033,0.072,0.045
7859,0.12,0.323,0.093,0.155,0.011,0.06,0.083,0.088
7860,0.116,0.335,0.113,0.181,0.016,0.114,0.089,0.137
7861,0.104,0.299,0.105,0.167,0.022,0.177,0.088,0.241
7862,0.094,0.229,0.092,0.123,0.034,0.236,0.085,0.39
7863,0.072,0.179,0.079,0.078,0.045,0.287,0.074,0.57
7864,0.055,0.168,0.09,0.059,0.076,0.352,0.052,0.748
7865,0.044,0.186,0.104,0.075,0.128,0.468,0.046,1.025
7866,0.033,0.18,0.084,0.08,0.152,0.601,0.045,1.432
7867,0.036,0.154,0.072,0.101,0.177,0.88,0.056,1.776
7868,0.04,0.111,0.071,0.129,0.196,1.154,0.064,1.728
7869,0.044,0.082,0.086,0.162,0.212,1.007,0.08,1.418
7870,0.052,0.053,0.198,0.308,0.219,0.594,0.103,1.046
7871,0.047,0.034,0.426,0.631,0.266,0.356,0.128,0.656
7872,0.046,0.026,0.533,0.891,0.337,0.253,0.147,0.297
7873,0.051,0.031,0.518,0.924,0.338,0.205,0.152,0.195
7874,0.054,0.068,0.496,0.821,0.257,0.186,0.154,0.176
7875,0.044,0.148,0.639,0.965,0.186,0.165,0.139,0.211
7876,0.033,0.243,0.84,1.333,0.171,0.135,0.099,0.203
7877,0.021,0.314,0.815,1.415,0.185,0.136,0.053,0.19
7878,0.01,0.281,0.544,0.992,0.168,0.156,0.017,0.204
