,B_Lake Tana,B_Grand Renaissance Dam,B_Grand Renaissance Dam Discharge,B_Gibgel Gibe II,B_Gibgel Gibe III,B_Gibgel Gibe III Discharge,B_Ethiopia,B_Genaledawa III Discharge
275,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
276,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
278,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
280,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
283,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0
286,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
296,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
297,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
298,0.0,0.0,0.0,0.0,0.0,0.0,-3.979039320256561e-13,0.0
299,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
302,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
303,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
304,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
305,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
307,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
309,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
315,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
317,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
318,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
319,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
320,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
